Champion,wr,wrdelta,avgwr,Pick Rate,Ban Rate,PBI Index,PBIno,lane,games,rank
Kled,51.6,0.19,51.410000000000004,1.26,0.81,2.0,10.526315789473685,top lane,"29,503",GOLD
Nunu & Willump,49.76,0.44,49.32,1.96,0.51,-1.0,-2.272727272727273,jungle lane,"45,970",GOLD
Nautilus,49.87,0.2,49.669999999999995,10.09,13.69,-3.0,-15.0,support lane,"236,553",GOLD
Yunara,47.69,-0.1,47.79,5.43,2.56,-13.0,130.0,bottom lane,"127,472",GOLD
Draven,48.15,-0.06,48.21,3.73,8.74,-8.0,133.33333333333334,bottom lane,"87,387",GOLD
Wukong,50.31,-0.12,50.43,2.06,0.43,0.0,-0.0,jungle lane,"48,347",GOLD
Yasuo,49.73,0.41,49.32,10.78,21.44,-5.0,-12.195121951219512,middle lane,"252,904",GOLD
Braum,51.18,-0.14,51.32,4.21,3.99,5.0,-35.71428571428571,support lane,"98,630",GOLD
Sett,52.18,0.26,51.92,7.79,4.68,17.0,65.38461538461539,top lane,"182,616",GOLD
Olaf,50.45,-0.13,50.580000000000005,2.07,1.68,1.0,-7.692307692307692,top lane,"48,539",GOLD
Blitzcrank,50.13,0.42,49.71,5.26,14.06,0.0,0.0,support lane,"123,254",GOLD
Aphelios,48.7,-0.37,49.07,3.46,2.19,-5.0,13.513513513513514,bottom lane,"81,205",GOLD
Akali,49.5,0.3,49.2,7.55,17.51,-5.0,-16.666666666666668,middle lane,"177,057",GOLD
Tahm Kench,50.32,0.63,49.69,3.78,4.85,1.0,1.5873015873015872,support lane,"88,759",GOLD
Aatrox,49.13,-0.4,49.53,4.78,7.81,-5.0,12.5,top lane,"112,196",GOLD
Xayah,50.48,0.14,50.339999999999996,3.34,0.61,1.0,7.142857142857142,bottom lane,"78,282",GOLD
Urgot,51.6,0.04,51.56,2.94,1.50,5.0,125.0,top lane,"69,003",GOLD
Amumu,52.75,0.56,52.19,4.76,3.01,13.0,23.21428571428571,jungle lane,"111,618",GOLD
Ezreal,47.28,-0.29,47.57,15.51,6.23,-46.0,158.6206896551724,bottom lane,"363,699",GOLD
Rakan,49.5,0.04,49.46,2.21,0.27,-1.0,-25.0,support lane,"51,817",GOLD
Vex,51.62,0.34,51.279999999999994,3.87,4.38,6.0,17.64705882352941,middle lane,"90,749",GOLD
Fiddlesticks,50.48,0.0,50.48,2.39,0.98,1.0,1.0,jungle lane,"55,962",GOLD
Lulu,49.34,-0.37,49.71,6.60,5.68,-5.0,13.513513513513514,support lane,"154,681",GOLD
Teemo,51.94,0.79,51.15,5.73,13.00,12.0,15.189873417721518,top lane,"134,277",GOLD
Rek'Sai,47.81,-0.8,48.61,0.95,0.55,-2.0,2.5,jungle lane,"22,264",GOLD
Corki,47.23,-0.36,47.589999999999996,1.79,0.39,-5.0,13.88888888888889,bottom lane,"41,931",GOLD
